country,year,gender,employment_type,economic_activity,employees_thousands,data_quality,data_source,indicator
Angola,2025,Total,Nature of job: Total,Economic activity (Broad sector): Total,3788.156,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (Broad sector): Agriculture,167.637,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (Broad sector): Non-agriculture,3620.519,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (Broad sector): Industry,646.47,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (Broad sector): Services,2974.048,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (Broad sector): Total,3191.265,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (Broad sector): Agriculture,155.956,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (Broad sector): Non-agriculture,3035.309,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (Broad sector): Industry,459.234,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (Broad sector): Services,2576.074,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with formal main job,Economic activity (Broad sector): Total,596.891,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with formal main job,Economic activity (Broad sector): Agriculture,11.681,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with formal main job,Economic activity (Broad sector): Non-agriculture,585.21,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with formal main job,Economic activity (Broad sector): Industry,187.236,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with formal main job,Economic activity (Broad sector): Services,397.974,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Total,Economic activity (Broad sector): Total,2534.774,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Total,Economic activity (Broad sector): Agriculture,134.637,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Total,Economic activity (Broad sector): Non-agriculture,2400.137,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Total,Economic activity (Broad sector): Industry,579.518,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Total,Economic activity (Broad sector): Services,1820.619,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with informal main job,Economic activity (Broad sector): Total,2096.842,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with informal main job,Economic activity (Broad sector): Agriculture,125.191,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with informal main job,Economic activity (Broad sector): Non-agriculture,1971.651,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with informal main job,Economic activity (Broad sector): Industry,412.426,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with informal main job,Economic activity (Broad sector): Services,1559.225,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with formal main job,Economic activity (Broad sector): Total,437.932,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with formal main job,Economic activity (Broad sector): Agriculture,9.446,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with formal main job,Economic activity (Broad sector): Non-agriculture,428.486,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with formal main job,Economic activity (Broad sector): Industry,167.092,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Male,Nature of job: Persons with formal main job,Economic activity (Broad sector): Services,261.394,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Total,Economic activity (Broad sector): Total,1253.382,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Total,Economic activity (Broad sector): Agriculture,33.0,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Total,Economic activity (Broad sector): Non-agriculture,1220.381,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Total,Economic activity (Broad sector): Industry,66.952,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Total,Economic activity (Broad sector): Services,1153.429,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with informal main job,Economic activity (Broad sector): Total,1094.423,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with informal main job,Economic activity (Broad sector): Agriculture,30.765,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with informal main job,Economic activity (Broad sector): Non-agriculture,1063.658,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with informal main job,Economic activity (Broad sector): Industry,46.809,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with informal main job,Economic activity (Broad sector): Services,1016.849,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
