ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_TOTAL,Economic activity (Broad sector): Total,2025,3788.156,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_AGR,Economic activity (Broad sector): Agriculture,2025,167.637,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_NAG,Economic activity (Broad sector): Non-agriculture,2025,3620.519,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_IND,Economic activity (Broad sector): Industry,2025,646.47,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_TOTAL,Nature of job: Total,ECO_SECTOR_SER,Economic activity (Broad sector): Services,2025,2974.048,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_TOTAL,Economic activity (Broad sector): Total,2025,3191.265,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_AGR,Economic activity (Broad sector): Agriculture,2025,155.956,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_NAG,Economic activity (Broad sector): Non-agriculture,2025,3035.309,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_IND,Economic activity (Broad sector): Industry,2025,459.234,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_SER,Economic activity (Broad sector): Services,2025,2576.074,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_SECTOR_TOTAL,Economic activity (Broad sector): Total,2025,596.891,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_SECTOR_AGR,Economic activity (Broad sector): Agriculture,2025,11.681,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
